stockId,stockName,type,date,price,rfPrice,rfPercent,parValue,equityMillion,circulationTenThousand,totalPrice,buildYear,onYear,股票期貨,選擇權,權證,公司債,私募股,特別股,產業別,董事長,總經理
3041,揚智,市,10/02,17.85,0.3,1.71,10.0,19.4,19.4,34.6,30.3,24.1,nan,nan,nan,nan,nan,nan,半導體業,梁厚誼,程心璿
8481,政伸,市,10/02,51.8,0.3,0.58,10.0,6.66,6.66,34.5,36.6,6.6,nan,nan,nan,nan,nan,nan,其他業,洪招儀,李煜培
00775B,新光投等債15+,市,10/02,32.05,-0.31,-0.96,,,10.76,34.5,4.7,4.63,nan,nan,nan,nan,nan,nan,nan,劉坤錫,陳文雄
00655L,國泰中國A50正2,市,10/02,25.08,0.3,1.21,,,13.75,34.5,7.6,7.54,nan,nan,有,nan,nan,nan,nan,張錫,張雍川
1341,富林-KY,市,10/02,66.9,0.0,0.0,10.0,5.17,5.14,34.4,6.8,4.78,nan,nan,nan,有,nan,nan,塑膠工業,王源林,黃政烘
4722,國精化,市,10/02,34.15,-0.4,-1.16,10.0,10.0,10.0,34.2,44.9,21.8,nan,nan,nan,nan,nan,nan,化學工業,蔡有涼,王海城
6142,友勁,市,10/02,10.25,0.0,0.0,10.0,33.1,33.08,33.9,32.6,21.7,nan,nan,nan,nan,有,nan,通信網路業,吳宗哲,鄭吉智
1475,業旺,市,10/02,51.3,0.5,0.98,10.0,6.6,6.6,33.9,32.9,22.9,nan,nan,nan,nan,有,有,紡織纖維,陳清土,陳坤木
1517,利奇,市,10/02,15.0,0.0,0.0,10.0,22.6,22.57,33.9,50.4,28.5,nan,nan,nan,nan,nan,nan,電機機械,林育新,林宜賢
6861,睿生光電,市,10/02,85.2,-0.3,-0.35,10.0,3.94,3.94,33.6,4.5,0.52,nan,nan,nan,nan,nan,nan,生技醫療業,楊柱祥,李志聖
4916,事欣科,市,10/02,37.95,0.95,2.57,10.0,8.84,8.84,33.5,21.8,9.87,nan,nan,nan,有,nan,nan,電腦及週邊設備業,廖文嘉,廖文嘉
2038,海光,市,10/02,17.6,0.0,0.0,10.0,19.0,19.03,33.5,54.5,14.8,nan,nan,nan,nan,nan,nan,鋼鐵工業,黃韋翰,黃燦明
3528,安馳,市,10/02,50.4,-0.1,-0.2,10.0,6.64,6.64,33.4,22.8,12.4,nan,nan,nan,nan,nan,nan,電子通路業,李瑞西,李瑞西
2509,全坤建,市,10/02,14.85,0.1,0.68,10.0,22.5,22.46,33.3,50.7,35.4,nan,nan,nan,nan,nan,nan,建材營造業,李勇毅,江清峰
