Date,Open,High,Low,Close,Volume,Adj Close
2022-02-21,78.16,80.07,78.16,78.64,450000.0,
2022-02-22,78.16,79.79,75.58,76.06,994000.0,
2022-02-23,76.63,77.4,75.86,76.82,577000.0,
2022-02-24,75.67,76.34,71.08,71.75,1443000.0,
2022-02-25,74.62,75.39,72.32,74.24,684000.0,
2022-03-01,74.72,81.6,74.62,81.6,1488000.0,
2022-03-02,81.8,85.34,80.17,83.04,2165000.0,
2022-03-03,82.94,84.19,80.65,81.32,1029000.0,
2022-03-04,80.93,82.94,79.79,79.88,791000.0,
2022-03-07,79.12,79.12,75.39,76.53,815000.0,
2022-03-08,74.62,77.11,73.95,74.62,646000.0,
2022-03-09,75.86,77.97,75.58,77.01,473000.0,
2022-03-10,78.93,84.67,78.45,84.67,2245000.0,
2022-03-11,83.23,87.82,82.94,85.62,3053000.0,
2022-03-14,87.06,87.54,82.85,83.33,1518000.0,
2022-03-15,81.99,84.47,78.93,82.27,1510000.0,
2022-03-16,84.0,84.09,79.88,80.55,1049000.0,
2022-03-17,83.52,86.1,82.18,84.67,1768000.0,
2022-03-18,84.09,84.19,80.84,81.8,1594000.0,
2022-03-21,82.18,83.52,81.32,81.41,842000.0,
2022-03-22,81.32,81.41,80.07,80.17,611000.0,
2022-03-23,80.93,83.42,80.84,82.37,938000.0,
2022-03-24,85.0,89.9,83.9,87.1,1894000.0,
2022-03-25,87.1,87.2,84.3,84.4,1142000.0,
2022-03-28,83.6,84.0,81.3,81.7,1093000.0,
2022-03-29,82.7,83.8,81.4,81.6,550000.0,
2022-03-30,82.5,83.5,81.6,81.6,558000.0,
2022-03-31,82.4,82.4,80.1,80.1,617000.0,
2022-04-01,79.2,80.0,78.5,79.5,549000.0,
2022-04-06,79.7,80.5,78.5,80.1,288000.0,
2022-04-07,80.1,81.5,78.0,78.5,540000.0,
2022-04-08,79.9,81.3,78.9,78.9,402000.0,
2022-04-11,79.8,80.6,77.5,77.7,572000.0,
2022-04-12,77.7,77.7,73.7,74.6,818000.0,
2022-04-13,75.4,75.8,73.1,74.6,746000.0,
2022-04-14,75.2,75.3,73.0,73.0,559000.0,
2022-04-15,72.1,72.1,67.5,67.6,1534000.0,
2022-04-18,67.6,67.9,65.1,65.1,892000.0,
2022-04-19,66.5,69.3,66.0,67.3,761000.0,
2022-04-20,72.0,74.0,70.4,74.0,1039000.0,
2022-04-21,73.0,77.9,72.5,76.0,1761000.0,
2022-04-22,73.4,74.3,72.1,72.1,785000.0,
2022-04-25,69.8,69.8,66.8,68.5,669000.0,
2022-04-26,69.4,69.4,67.1,67.5,364000.0,
2022-04-27,64.8,67.0,64.3,66.2,422000.0,
2022-04-28,66.2,66.7,65.5,65.6,318000.0,
2022-04-29,67.9,67.9,65.6,65.6,322000.0,
2022-05-03,65.2,66.0,64.3,64.3,364000.0,
2022-05-04,65.0,65.7,64.4,65.3,296000.0,
2022-05-05,66.8,68.1,66.6,67.2,695000.0,
2022-05-06,65.2,66.4,64.4,65.6,327000.0,
2022-05-09,64.0,64.2,61.8,61.8,634000.0,
